iter	Passed	Remaining
0	1	113
1	1	71
2	1	56
3	1	47
4	2	42
5	2	39
6	2	38
7	3	37
8	3	36
9	3	35
10	4	33
11	4	32
12	4	32
13	5	31
14	5	30
15	5	29
16	5	29
17	6	28
18	6	27
19	6	27
20	7	26
21	7	26
22	7	25
23	7	25
24	8	24
25	8	23
26	8	23
27	9	23
28	9	22
29	9	22
30	9	21
31	9	21
32	10	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	12	15
45	13	15
46	13	15
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	14	13
53	14	12
54	15	12
55	15	12
56	15	11
57	15	11
58	16	11
59	16	11
60	16	10
61	17	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	9
67	18	8
68	18	8
69	19	8
70	19	7
71	19	7
72	19	7
73	20	7
74	20	6
75	20	6
76	20	6
77	21	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
